id,folder,architecture,dataset,layer size,depth,activation function,dropout,batch size,learning rate,epochs,loss,radian loss,mse loss,elapsed time
333,models/model333/,mlp,3x,53,5,LeakyReLU,0.02,143,1.6595869074375598e-05,200,0.03757704712520354,0.032935862600803376,0.00464118452440016,00:24:47
334,models/model334/,lstm,3x,47,5,Tanh,0.29,59,3.8018939632056124e-05,200,0.037924769786652185,0.03300792011618615,0.004916849670466034,01:35:03
335,models/model335/,mlp,3x,83,3,Tanh,0.19,147,8.128305161640995e-06,200,0.07707634894014337,0.0720967467725277,0.004979602167615667,00:25:39
336,models/model336/,mlp,3x,130,4,LeakyReLU,0.18,709,0.0005128613839913648,200,0.03808155162003823,0.033434777289628986,0.004646774330409243,00:29:54
337,models/model337/,mlp,3x,90,6,ReLU,0.31,87,8.709635899560814e-05,200,0.04199732004944236,0.037174421012401586,0.00482289903704077,00:27:34
338,models/model338/,mlp,3x,178,3,ReLU,0.14,377,3.235936569296281e-05,200,0.03544122763536871,0.031032339453697204,0.0044088881816715005,00:30:59
339,models/model339/,mlp,3x,44,2,LeakyReLU,0.41,451,0.0005888436553555889,200,0.04122252076794394,0.036461415022611625,0.004761105745332316,00:22:52
340,models/model340/,lstm,3x,100,3,LeakyReLU,0.45,749,1.0471285480508985e-06,200,0.36743249593675137,0.2407796885371208,0.12665280739963056,00:37:06
341,models/model341/,lstm,3x,199,4,ReLU,0.24,61,0.0001174897554939529,200,0.0379700875467388,0.03425853464007378,0.0037115529066650194,01:28:49
342,models/model342/,lstm,3x,213,2,ReLU,0.14,36,6.165950018614822e-05,200,0.03235665231291205,0.029877931594848636,0.002478720718063414,01:21:42
343,models/model343/,mlp,3x,97,5,ReLU,0.24,1379,1.6218100973589298e-06,200,0.3575650061964989,0.23600420767068864,0.12156079852581024,00:24:52
344,models/model344/,mlp,3x,464,3,ReLU,0.03,78,1.445439770745928e-06,200,0.039250182299409075,0.033928861498832716,0.005321320800576359,00:35:22
345,models/model345/,mlp,3x,50,4,LeakyReLU,0.2,47,5.623413251903491e-06,200,0.04101900897710584,0.03636102965474129,0.004657979322364554,00:31:12
346,models/model346/,lstm,3x,35,5,LeakyReLU,0.47,41,1.8620871366628657e-05,200,0.06461246986105106,0.05964141389727592,0.004971055963775142,01:56:50
347,models/model347/,mlp,3x,103,3,ReLU,0.02,501,6.918309709189363e-05,200,0.036201600904110814,0.031615914344787596,0.004585686559323222,00:23:50
348,models/model348/,lstm,3x,125,2,ReLU,0.27,141,4.897788193684466e-05,200,0.03540996871935203,0.03081866934895515,0.004591299370396882,00:42:57
349,models/model349/,mlp,3x,37,4,ReLU,0.48,172,0.00019498445997580456,200,0.08265415514539926,0.07762353217601775,0.005030622969381511,00:24:21
350,models/model350/,lstm,3x,421,4,ReLU,0.32,294,2.0417379446695274e-05,200,0.035860932931303977,0.031060779392719267,0.004800153538584709,01:38:22
351,models/model351/,lstm,3x,17,6,LeakyReLU,0.22,221,2.290867652767775e-05,200,0.25467846939875743,0.2467764348089695,0.007902034589787945,00:48:19
352,models/model352/,mlp,3x,69,6,ReLU,0.36,427,8.912509381337459e-05,200,0.049037008828017856,0.04411396521329879,0.004923043614719062,00:28:36
353,models/model353/,lstm,3x,266,4,Tanh,0.06,245,0.00022908676527677723,200,0.03533879271184559,0.03261049196124076,0.002728300750604831,01:12:21
354,models/model354/,lstm,3x,36,4,Tanh,0.31,123,6.165950018614822e-06,200,0.07962148986617103,0.07144096300005913,0.008180526866111903,00:50:29
355,models/model355/,mlp,3x,312,4,ReLU,0.19,21,3.63078054770101e-05,200,0.03707679367088714,0.032708741754293454,0.004368051916593688,00:49:27
356,models/model356/,lstm,3x,40,5,Tanh,0.25,27,1.3182567385564074e-05,200,0.04161001138412393,0.03668901085853576,0.004921000525588169,03:04:02
357,models/model357/,lstm,3x,157,5,Tanh,0.5,93,2.5118864315095822e-05,200,0.037374565043719485,0.03245287805795669,0.00492168698576279,01:29:35
358,models/model358/,mlp,3x,93,5,Tanh,0.29,342,0.0005370317963702527,200,0.03658652959903702,0.03161350047588348,0.004973029123153538,00:29:38
359,models/model359/,mlp,3x,190,2,LeakyReLU,0.0,1448,1.445439770745928e-05,200,0.06574033544398844,0.057854925394058225,0.007885410049930215,00:29:25
360,models/model360/,mlp,3x,22,4,ReLU,0.32,522,9.332543007969906e-06,200,0.263289624504745,0.178940458714962,0.08434916578978299,00:23:01
361,models/model361/,lstm,3x,103,3,LeakyReLU,0.09,34,2.1379620895022326e-06,200,0.05157091123843566,0.04583092707395554,0.00573998416448012,01:38:52
362,models/model362/,mlp,3x,179,3,ReLU,0.13,333,0.00015848931924611142,200,0.037115876881638546,0.03258142632246018,0.0045344505591783674,00:30:27
363,models/model363/,mlp,3x,187,3,Tanh,0.13,22,0.00015848931924611142,200,0.0345943403749261,0.030626069486141203,0.0039682708887848975,00:36:20
364,models/model364/,mlp,3x,26,3,Tanh,0.44,294,6.456542290346549e-06,200,0.21979072263278068,0.18979331141710282,0.029997411215677856,00:23:01
365,models/model365/,lstm,3x,369,4,ReLU,0.32,451,0.0007585775750291835,200,0.04146543059451506,0.03741517129540444,0.004050259299110621,01:25:29
366,models/model366/,mlp,3x,102,2,ReLU,0.46,125,3.3113112148259077e-06,200,0.05462145304773003,0.04578719660639763,0.0088342564413324,00:25:27
367,models/model367/,mlp,3x,37,4,Tanh,0.08,41,0.00016595869074375615,200,0.03620833894447424,0.0313134423494339,0.004894896595040338,00:29:57
368,models/model368/,lstm,3x,74,4,Tanh,0.13,22,1.0232929922807536e-05,200,0.03651203867699951,0.0317904851436615,0.004721553533338012,02:51:54
369,models/model369/,lstm,3x,110,6,Tanh,0.44,377,0.000707945784384138,200,0.04461044090101495,0.039665910363197325,0.004944530537817627,00:43:56
370,models/model370/,lstm,3x,41,6,Tanh,0.07,163,0.0007244359600749898,200,0.04371091636782513,0.03878279349207878,0.004928122875746341,00:53:27
371,models/model371/,mlp,3x,125,4,ReLU,0.39,302,2.4547089156850284e-06,200,0.09096502443030477,0.06018851351737976,0.030776510912925003,00:25:05
372,models/model372/,mlp,3x,48,2,LeakyReLU,0.23,47,0.00020892961308540387,200,0.038082496128743516,0.03338912409543991,0.004693372033303605,00:27:33
373,models/model373/,mlp,3x,38,6,ReLU,0.03,304,1.3182567385564074e-06,200,0.2851869730353356,0.18063660430908204,0.1045503687262535,00:23:42
374,models/model374/,mlp,3x,288,3,LeakyReLU,0.14,152,8.128305161640995e-06,200,0.03521391221694648,0.0307156925201416,0.004498219696804881,00:29:10
375,models/model375/,mlp,3x,16,4,Tanh,0.02,23,0.0006606934480075957,200,0.05862126919953152,0.05370250734686851,0.00491876185266301,00:36:53
376,models/model376/,lstm,3x,28,3,LeakyReLU,0.48,114,0.00016218100973589298,200,0.056004691081587225,0.051070514142513276,0.004934176939073951,00:47:32
377,models/model377/,mlp,3x,17,4,Tanh,0.1,76,1.7378008287493764e-05,200,0.06153445183206349,0.05654443776607513,0.0049900140659883616,00:25:59
378,models/model378/,lstm,3x,367,4,ReLU,0.38,390,1.3182567385564074e-05,200,0.03938699348829687,0.033930787444114686,0.005456206044182181,01:35:34
379,models/model379/,lstm,3x,31,5,Tanh,0.41,333,2.8840315031266056e-05,200,0.07217513577989301,0.06599575352668761,0.0061793822532054034,00:35:07
380,models/model380/,lstm,3x,178,4,LeakyReLU,0.18,377,5.623413251903491e-06,200,0.06156588259292767,0.051579417258501056,0.009986465334426611,00:48:23
381,models/model381/,mlp,3x,207,2,ReLU,0.39,714,0.00017782794100389227,200,0.03976492060208693,0.03524633467197418,0.004518585930112749,00:25:47
382,models/model382/,lstm,3x,247,3,ReLU,0.38,17,2.0892961308540407e-06,200,0.03906195642286911,0.03400318029522895,0.00505877612764016,03:17:42
383,models/model383/,lstm,3x,263,3,LeakyReLU,0.37,93,4.168693834703355e-06,200,0.04135988675756379,0.03606503015756606,0.005294856599997728,01:28:19
384,models/model384/,lstm,3x,467,5,ReLU,0.15,522,4.3651583224016566e-05,200,0.03597000189498067,0.031435787618160245,0.004534214276820422,01:57:16
385,models/model385/,mlp,3x,357,2,ReLU,0.49,639,5.3703179637025325e-05,200,0.036745978697668755,0.032411512762308116,0.0043344659353606405,00:27:17
386,models/model386/,mlp,3x,240,6,LeakyReLU,0.17,1370,4.168693834703355e-06,200,0.08237301069311798,0.05174678385257721,0.03062622684054077,00:28:00
387,models/model387/,lstm,3x,26,3,LeakyReLU,0.5,455,4.677351412871981e-05,200,0.08459542996250094,0.07696998089551926,0.007625449066981674,00:36:03
388,models/model388/,mlp,3x,333,6,Tanh,0.01,1128,0.0002818382931264455,200,0.03695246431417763,0.031979093074798584,0.004973371239379049,00:38:26
389,models/model389/,lstm,3x,200,6,LeakyReLU,0.22,47,0.00019952623149688788,200,0.04395883099548518,0.039543113827705374,0.0044157171677798035,02:14:06
390,models/model390/,lstm,3x,477,5,LeakyReLU,0.43,436,1.3803842646028838e-06,200,0.1267112509291619,0.1115390431880951,0.015172207741066814,02:08:56
391,models/model391/,mlp,3x,22,4,ReLU,0.08,1552,1.9498445997580454e-06,200,0.7043133963346482,0.5659620399475098,0.13835135638713839,00:22:09
392,models/model392/,mlp,3x,333,6,Tanh,0.18,680,0.00039810717055349735,200,0.03707520531490446,0.03215794682502747,0.004917258489876986,00:33:05
393,models/model393/,mlp,3x,388,3,ReLU,0.28,648,0.0003388441561392024,200,0.038078302193433056,0.03337780404090882,0.004700498152524233,00:30:42
394,models/model394/,lstm,3x,22,4,ReLU,0.37,17,8.709635899560814e-05,200,0.054946499411249544,0.05002520382404328,0.004921295587206259,03:22:11
395,models/model395/,lstm,3x,16,6,ReLU,0.39,100,1.5488166189124828e-05,200,0.25519242966547606,0.24538488686084747,0.009807542804628611,01:03:56
396,models/model396/,lstm,3x,49,4,LeakyReLU,0.39,1052,0.0007585775750291835,200,0.04822344950679689,0.04326695311069488,0.004956496396102012,00:31:31
397,models/model397/,lstm,3x,33,6,ReLU,0.17,445,2.0892961308540407e-06,200,0.680812758859247,0.5752553506195545,0.10555740823969245,00:42:09
398,models/model398/,mlp,3x,398,6,Tanh,0.04,28,4.5708818961487516e-05,200,0.03560542841907591,0.03145341730117798,0.004152011117897926,00:51:32
399,models/model399/,mlp,3x,35,2,ReLU,0.13,42,7.943282347242822e-06,200,0.03999453844875098,0.03544035971164704,0.00455417873710394,00:28:18
400,models/model400/,mlp,3x,33,2,ReLU,0.28,1520,0.00046773514128719813,200,0.04567370004951954,0.041148183345794676,0.004525516703724862,00:22:42
401,models/model401/,mlp,3x,51,6,Tanh,0.14,89,8.709635899560814e-05,200,0.03566770935850218,0.030732316732406614,0.004935392626095563,00:32:51
402,models/model402/,lstm,3x,49,4,LeakyReLU,0.4,127,0.00017782794100389227,200,0.04364488145546056,0.038686443716287613,0.004958437739172951,00:56:58
403,models/model403/,lstm,3x,202,3,Tanh,0.36,544,3.467368504525317e-06,200,0.10004091911762954,0.08916187953948976,0.010879039578139783,00:49:14
404,models/model404/,mlp,3x,20,5,Tanh,0.28,22,0.0005128613839913648,200,0.07134062235243618,0.06642427283525466,0.004916349517181516,00:49:38
405,models/model405/,mlp,3x,44,2,ReLU,0.43,955,0.000630957344480193,200,0.06986156866536475,0.06487771451473236,0.0049838541506323965,00:23:25
406,models/model406/,lstm,3x,16,6,LeakyReLU,0.5,367,3.890451449942805e-06,200,0.7157888900898398,0.6061710101068021,0.10961787998303771,00:34:30
407,models/model407/,lstm,3x,367,6,Tanh,0.4,41,4.168693834703355e-05,200,0.03634626486932392,0.03261871644854545,0.003727548420778475,03:43:04
408,models/model408/,mlp,3x,32,6,LeakyReLU,0.09,49,1.3489628825916533e-06,200,0.10618666858971121,0.06669305604696275,0.039493612542748455,00:30:22
409,models/model409/,lstm,3x,90,6,Tanh,0.28,982,1.2589254117941661e-05,200,0.10944140382204204,0.09828214675188064,0.011159257070161402,00:38:39
410,models/model410/,mlp,3x,174,5,ReLU,0.09,25,0.00018197008586099826,200,0.040998394991038384,0.0362550124526024,0.004743382538435981,00:37:34
411,models/model411/,lstm,3x,52,5,ReLU,0.38,526,0.0002754228703338166,200,0.04904831158509478,0.044069157242774964,0.004979154342319816,00:34:56
412,models/model412/,lstm,3x,352,2,ReLU,0.31,64,1.445439770745928e-05,200,0.03381530082598329,0.029545557975769042,0.004269742850214243,01:13:38
413,models/model413/,lstm,3x,110,3,ReLU,0.37,519,6.025595860743581e-06,200,0.09096212374512107,0.07097508069872857,0.0199870430463925,00:34:58
414,models/model414/,lstm,3x,221,6,LeakyReLU,0.01,210,0.00016218100973589298,200,0.037285000614356245,0.03307833969593048,0.004206660918425768,01:22:42
415,models/model415/,lstm,3x,36,6,Tanh,0.28,148,0.0003388441561392024,200,0.043338150060735645,0.03837652683258057,0.0049616232281550765,00:58:41
416,models/model416/,lstm,3x,398,4,Tanh,0.35,163,2.0417379446695273e-06,200,0.056935782734537504,0.05093695250153542,0.005998830233002083,02:07:10
417,models/model417/,lstm,3x,42,4,ReLU,0.34,19,6.456542290346549e-05,200,0.04982586987363176,0.044958928883075726,0.0048669409905560315,03:46:11
418,models/model418/,mlp,3x,27,4,LeakyReLU,0.36,77,0.0003090295432513592,200,0.05379430538788437,0.04893253654241561,0.004861768845468759,00:28:24
419,models/model419/,mlp,3x,123,2,ReLU,0.12,837,0.00013182567385564074,200,0.036777515311492606,0.03237316533923149,0.0044043499722611155,00:23:46
420,models/model420/,lstm,3x,142,3,LeakyReLU,0.06,661,3.467368504525317e-05,200,0.04076288713607937,0.03483515626192093,0.005927730874158442,00:39:58
421,models/model421/,mlp,3x,52,3,Tanh,0.38,404,6.918309709189363e-05,200,0.05881339596863836,0.053855396270751955,0.004957999697886408,00:23:13
422,models/model422/,mlp,3x,29,5,ReLU,0.22,96,1.2882495516931348e-05,200,0.049418015953153385,0.044292978286743175,0.005125037666410208,00:32:25
423,models/model423/,lstm,3x,36,4,ReLU,0.32,39,6.606934480075965e-05,200,0.04347934325411916,0.03855932646989823,0.004920016784220934,01:45:46
424,models/model424/,lstm,3x,333,2,ReLU,0.23,51,0.0006760829753919819,200,0.04276031042146498,0.038219348579645165,0.004540961841819809,01:32:41
425,models/model425/,mlp,3x,18,5,Tanh,0.43,20,3.890451449942805e-06,200,0.1572763895057142,0.1518756711483002,0.005400718357414006,00:50:34
426,models/model426/,lstm,3x,55,5,ReLU,0.35,64,6.309573444801929e-05,200,0.04178893044218422,0.03682942533493043,0.00495950510725379,01:46:19
427,models/model427/,lstm,3x,17,3,Tanh,0.4,95,0.0004897788193684461,200,0.05770790293463505,0.05278354972600936,0.004924353208625688,00:57:48
428,models/model428/,mlp,3x,134,5,ReLU,0.44,224,0.00023442288153199226,200,0.04353619454056025,0.038692940711975106,0.004843253828585147,00:31:05
429,models/model429/,lstm,3x,133,3,ReLU,0.2,17,3.3884415613920275e-06,200,0.04064081073645502,0.035736725360155104,0.004904085376299919,02:57:32
430,models/model430/,lstm,3x,91,5,ReLU,0.44,21,0.0007943282347242813,200,0.08402739605982788,0.07915374645590782,0.004873649603920057,03:35:31
431,models/model431/,lstm,3x,102,3,Tanh,0.06,948,7.079457843841373e-05,200,0.04512947139143944,0.039528894662857056,0.005600576728582383,00:42:13
432,models/model432/,mlp,3x,377,2,ReLU,0.37,21,0.0003715352290971724,200,0.04734552796068601,0.04242411065101623,0.0049214173096697785,00:45:31
433,models/model433/,mlp,3x,17,3,ReLU,0.34,634,2.6302679918953814e-05,200,0.1583771483656019,0.1311236134171486,0.0272535349484533,00:26:57
434,models/model434/,lstm,3x,89,4,ReLU,0.11,81,1.0471285480508985e-05,200,0.04012801872543059,0.03513429245352745,0.004993726271903143,01:13:28
435,models/model435/,mlp,3x,77,6,LeakyReLU,0.09,209,0.00013182567385564074,200,0.0369085864701774,0.0321975602209568,0.004711026249220595,00:29:56
436,models/model436/,lstm,3x,76,4,ReLU,0.03,572,1.0232929922807537e-06,200,0.3710766587257385,0.24104769980907437,0.1300289589166641,00:37:26
437,models/model437/,lstm,3x,37,6,Tanh,0.41,46,0.0005623413251903491,200,0.06264378098910672,0.05772205221652983,0.004921728772576898,02:26:16
438,models/model438/,lstm,3x,178,3,ReLU,0.19,229,1.0232929922807536e-05,200,0.04005149023537524,0.03452118188142777,0.005530308353947476,00:56:57
439,models/model439/,lstm,3x,119,5,LeakyReLU,0.19,165,0.0005370317963702527,200,0.04253106748335995,0.03828475013375282,0.004246317349607125,01:05:03
440,models/model440/,mlp,3x,186,2,ReLU,0.38,413,9.549925860214369e-05,200,0.03949586870358326,0.035048747152090075,0.004447121551493183,00:29:22
441,models/model441/,mlp,3x,65,2,ReLU,0.45,41,2.2387211385683376e-06,200,0.0564902324376162,0.048864584773778905,0.0076256476638372995,00:37:32
442,models/model442/,lstm,3x,74,2,ReLU,0.24,43,0.00019054607179632462,200,0.04044093119958415,0.035901680886745446,0.004539250312838704,01:05:52
443,models/model443/,mlp,3x,36,6,ReLU,0.05,41,0.00038018939632056124,200,0.04212651806534267,0.03728107857704162,0.0048454394883010515,00:39:41
444,models/model444/,mlp,3x,18,5,ReLU,0.05,41,4.466835921509635e-06,200,0.0501158430185169,0.04470283299684524,0.005413010021671654,00:38:36
445,models/model445/,mlp,3x,168,6,Tanh,0.39,24,0.0008317637711026709,200,0.05545007727853954,0.05049831795692444,0.004951759321615099,00:52:51
446,models/model446/,mlp,3x,122,4,Tanh,0.13,310,2.818382931264455e-06,200,0.16840584962163122,0.16159927040338518,0.006806579218246043,00:31:00
447,models/model447/,lstm,3x,44,6,ReLU,0.49,26,7.585775750291836e-06,200,0.07452671957295386,0.06955836415290831,0.004968355420045552,04:02:25
448,models/model448/,mlp,3x,52,2,LeakyReLU,0.14,935,0.00044668359215096305,200,0.038332728531677275,0.033897155970335005,0.004435572561342269,00:27:03
449,models/model449/,mlp,3x,172,6,LeakyReLU,0.43,352,2.818382931264455e-05,200,0.038087455242872235,0.03328498458862304,0.004802470654249191,00:31:49
450,models/model450/,mlp,3x,148,6,LeakyReLU,0.31,471,0.00026302679918953814,200,0.040745478339726096,0.03595428097248077,0.004791197367245331,00:31:06
451,models/model451/,mlp,3x,46,5,LeakyReLU,0.24,24,6.760829753919819e-05,200,0.03981528665311635,0.0350567376613617,0.00475854899175465,00:48:24
452,models/model452/,lstm,3x,36,5,ReLU,0.42,24,2.5703957827688647e-06,200,0.12393457815982402,0.11614607453346253,0.00778850362636149,03:47:37
453,models/model453/,mlp,3x,101,4,Tanh,0.4,481,0.0007943282347242813,200,0.03748705035378225,0.032513683974742885,0.004973366379039362,00:28:27
454,models/model454/,mlp,3x,188,4,Tanh,0.06,38,1.4125375446227555e-05,200,0.03506345888506621,0.03053766494989395,0.004525793935172259,00:39:19
455,models/model455/,mlp,3x,50,6,ReLU,0.16,1067,7.76247116628691e-06,200,0.18694514424726366,0.10252021905779839,0.08442492518946529,00:27:31
456,models/model456/,mlp,3x,109,4,LeakyReLU,0.36,166,3.715352290971728e-05,200,0.03680512154800818,0.032130538821220404,0.004674582726787775,00:29:54
457,models/model457/,lstm,3x,109,3,LeakyReLU,0.09,33,0.0007413102413009177,200,0.04869393632980064,0.044190889060497285,0.004503047269303352,01:44:14
458,models/model458/,lstm,3x,93,3,Tanh,0.23,122,3.090295432513592e-05,200,0.0361116144163534,0.031344529032707215,0.004767085383646189,00:54:17
459,models/model459/,lstm,3x,210,4,Tanh,0.02,274,0.00013803842646028852,200,0.032009436420165,0.029449045121669768,0.0025603912984952333,01:06:22
460,models/model460/,mlp,3x,28,6,Tanh,0.42,630,1.2589254117941661e-06,200,0.49480837821960444,0.391114866733551,0.10369351148605346,00:26:59
461,models/model461/,mlp,3x,109,6,LeakyReLU,0.09,749,3.0199517204020193e-06,200,0.17850319515168667,0.06414721262454987,0.11435598252713682,00:28:59
462,models/model462/,mlp,3x,107,3,LeakyReLU,0.43,28,0.00017378008287493763,200,0.03758568795770406,0.03295363402366638,0.004632053934037686,00:41:01
463,models/model463/,mlp,3x,26,6,LeakyReLU,0.08,74,2.0892961308540407e-06,200,0.12595794583298262,0.08763259720802304,0.038325348624959586,00:34:08
464,models/model464/,mlp,3x,23,4,Tanh,0.05,448,0.0005248074602497728,200,0.038411139473319054,0.03344593811035156,0.00496520136296749,00:27:23
465,models/model465/,lstm,3x,43,2,Tanh,0.03,93,0.00022908676527677723,200,0.03567473445879295,0.03188552069664001,0.0037892137621529398,00:48:36
466,models/model466/,lstm,3x,481,4,LeakyReLU,0.25,146,2.6302679918953814e-05,200,0.03364854282932356,0.029985365629196164,0.003663177200127393,02:26:14
467,models/model467/,lstm,3x,101,6,LeakyReLU,0.42,178,7.079457843841373e-05,200,0.04457229798752814,0.039601531684398644,0.004970766303129494,01:06:31
468,models/model468/,lstm,3x,315,5,ReLU,0.29,29,8.709635899560814e-05,200,0.039890369011904125,0.03601335448026658,0.003877014531637543,03:39:42
469,models/model469/,mlp,3x,164,4,LeakyReLU,0.38,596,2.1877616239495517e-06,200,0.15837135168910027,0.0677004108428955,0.09067094084620475,00:30:16
470,models/model470/,mlp,3x,165,4,ReLU,0.35,39,0.00019952623149688788,200,0.041036129754735154,0.03621055284142494,0.004825576913310216,00:39:25
471,models/model471/,lstm,3x,227,4,Tanh,0.42,1128,3.7153522909717276e-06,200,0.16071789643913506,0.14405734252929686,0.0166605539098382,01:00:38
472,models/model472/,lstm,3x,45,3,Tanh,0.49,23,0.0008709635899560805,200,0.0612996715756599,0.05638883256912233,0.004910839006537572,02:32:48
473,models/model473/,mlp,3x,16,2,ReLU,0.39,16,1.6595869074375596e-06,200,0.13992108567059042,0.11574346494674682,0.024177620723843583,00:52:02
474,models/model474/,mlp,3x,28,6,ReLU,0.14,59,9.332543007969905e-05,200,0.04278076719632372,0.03785674172639846,0.0049240254699252535,00:36:56
475,models/model475/,mlp,3x,109,6,Tanh,0.45,803,9.772372209558111e-06,200,0.17303659628587775,0.16558516323566438,0.007451433050213382,00:30:23
476,models/model476/,mlp,3x,36,2,LeakyReLU,0.46,621,0.0009332543007969915,200,0.04397114090272226,0.039221240103244785,0.0047499007994774725,00:27:04
477,models/model477/,mlp,3x,250,5,LeakyReLU,0.14,19,0.00023442288153199226,200,0.03981240030005575,0.035207186460495005,0.004605213839560745,00:56:52
478,models/model478/,lstm,3x,50,2,LeakyReLU,0.38,72,0.00031622776601683794,200,0.0426571797169745,0.037879387855529786,0.0047777918614447116,00:54:49
479,models/model479/,lstm,3x,25,5,ReLU,0.24,501,2.3988329190194897e-06,200,0.7143035072647035,0.6092990171015262,0.10500449016317724,00:36:55
480,models/model480/,mlp,3x,93,6,Tanh,0.45,362,0.0008912509381337459,200,0.04454560555564239,0.03958432745933532,0.004961278096307069,00:29:14
481,models/model481/,lstm,3x,165,6,LeakyReLU,0.44,16,0.00014791083881682073,200,0.05009700668975712,0.045203861713409434,0.0048931449763476844,06:16:09
482,models/model482/,mlp,3x,147,4,LeakyReLU,0.07,843,6.9183097091893625e-06,200,0.057155456379521644,0.04322948625683785,0.013925970122683793,00:29:44
483,models/model483/,lstm,3x,160,3,ReLU,0.04,600,0.00042657951880159257,200,0.033932815212756394,0.03033182621002197,0.0036009890027344227,00:43:24
484,models/model484/,lstm,3x,71,3,LeakyReLU,0.19,200,0.0001445439770745928,200,0.038077324908226726,0.03324652314186096,0.004830801766365766,00:44:45
485,models/model485/,mlp,3x,22,4,LeakyReLU,0.36,1128,1.1481536214968817e-05,200,0.35881194049119947,0.24175371766090392,0.11705822283029557,00:26:53
486,models/model486/,lstm,3x,25,5,Tanh,0.03,284,0.0002951209226666387,200,0.03944792583677917,0.03452078676223754,0.004927139074541629,00:44:32
487,models/model487/,lstm,3x,120,3,LeakyReLU,0.4,1176,0.000707945784384138,200,0.03905664796195924,0.034325901269912716,0.004730746692046523,00:38:00
488,models/model488/,mlp,3x,192,4,Tanh,0.07,66,4.897788193684466e-05,200,0.03333685994707049,0.02923192602396012,0.004104933923110366,00:35:04
489,models/model489/,lstm,3x,21,2,Tanh,0.19,229,7.943282347242822e-06,200,0.1186399812316522,0.08776350712776185,0.030876474103890363,00:36:01
490,models/model490/,mlp,3x,26,6,Tanh,0.43,319,3.9810717055349695e-05,200,0.1383315033602994,0.13325908851623536,0.005072414844064042,00:28:01
491,models/model491/,lstm,3x,333,4,LeakyReLU,0.26,78,7.585775750291836e-06,200,0.03601072714617476,0.031131209433078767,0.004879517713095992,02:07:04
492,models/model492/,lstm,3x,221,5,ReLU,0.45,65,1.778279410038923e-06,200,0.06035044053336606,0.05422503337264061,0.006125407160725445,02:01:30
493,models/model493/,lstm,3x,195,4,Tanh,0.14,28,0.0001230268770812381,200,0.037529043944552545,0.0342122552394867,0.003316788705065847,02:41:29
494,models/model494/,lstm,3x,25,5,LeakyReLU,0.12,21,0.00026915348039269167,200,0.05008189135068098,0.04518465662002565,0.0048972347306553265,04:04:42
495,models/model495/,mlp,3x,38,6,Tanh,0.16,596,2.5118864315095823e-06,200,0.29778143841028215,0.18669372820854188,0.11108771020174026,00:27:37
496,models/model496/,lstm,3x,377,2,ReLU,0.01,122,5.888436553555884e-05,200,0.03179288051393815,0.029135575771331794,0.002657304742606357,01:15:53
497,models/model497/,mlp,3x,83,6,LeakyReLU,0.16,879,2.6915348039269138e-06,200,0.225338279876858,0.12067391774058342,0.10466436213627457,00:28:25
498,models/model498/,mlp,3x,53,2,Tanh,0.17,342,4.5708818961487516e-05,200,0.066756604175549,0.06176189756393433,0.0049947066116146745,00:27:51
499,models/model499/,mlp,3x,84,3,LeakyReLU,0.39,27,1.9054607179632484e-05,200,0.0369047477596905,0.03228324803709983,0.00462149972259067,00:41:04
